hotspot	sequence	island_index	group	coordinates	cds_id	cds_type	name	category
0-1	TemPhD_cluster_52209	0	TemPhD_cluster_52209_CDS_0025	19888:20697:-1	TemPhD_cluster_52209_CDS_0025	variable	hypothetical protein	
0-1	TemPhD_cluster_37844	0	TemPhD_cluster_37844_CDS_0025	21472:22815:1	TemPhD_cluster_37844_CDS_0025	variable	hypothetical protein	
0-1	TemPhD_cluster_51953	0	TemPhD_cluster_51953_CDS_0027	20369:21787:-1	TemPhD_cluster_51953_CDS_0027	variable	hypothetical protein	
0-1	TemPhD_cluster_52262	0	TemPhD_cluster_52379_CDS_0025	17375:18559:1	TemPhD_cluster_52262_CDS_0023	variable	tail protein	
0-1	TemPhD_cluster_52262	1	TemPhD_cluster_28372_CDS_0024	18562:19002:1	TemPhD_cluster_52262_CDS_0024	variable	tail fiber assembly protein	
0-1	TemPhD_cluster_52262	2	TemPhD_cluster_15215_CDS_0021	18974:19576:-1	TemPhD_cluster_52262_CDS_0025	variable	tail fiber assembly	
0-1	TemPhD_cluster_52262	3	TemPhD_cluster_52262_CDS_0026	19576:20124:-1	TemPhD_cluster_52262_CDS_0026	variable	tail collar fiber protein	
0-1	TemPhD_cluster_52262	4	TemPhD_cluster_52091_CDS_0027	20155:20748:1	TemPhD_cluster_52262_CDS_0027	variable	DNA invertase	
0-1	TemPhD_cluster_62821	0	TemPhD_cluster_62821_CDS_0026	21729:22571:1	TemPhD_cluster_62821_CDS_0026	variable	hypothetical protein	
0-1	TemPhD_cluster_62821	1	TemPhD_cluster_62821_CDS_0027	22678:22785:1	TemPhD_cluster_62821_CDS_0027	variable	hypothetical protein	
0-1	TemPhD_cluster_38190	0	TemPhD_cluster_52379_CDS_0025	16256:17755:1	TemPhD_cluster_38190_CDS_0023	variable	tail protein	
0-1	TemPhD_cluster_38190	1	TemPhD_cluster_15215_CDS_0021	17755:18357:1	TemPhD_cluster_38190_CDS_0024	variable	tail fiber assembly	
0-1	TemPhD_cluster_38190	2	TemPhD_cluster_28372_CDS_0024	18329:18772:-1	TemPhD_cluster_38190_CDS_0025	variable	tail fiber assembly protein	
0-1	TemPhD_cluster_38190	3	TemPhD_cluster_38190_CDS_0026	18793:19029:-1	TemPhD_cluster_38190_CDS_0026	variable	hypothetical protein	
0-1	TemPhD_cluster_38190	4	TemPhD_cluster_52091_CDS_0027	19234:19827:1	TemPhD_cluster_38190_CDS_0027	variable	DNA invertase	
0-1	TemPhD_cluster_52091	0	TemPhD_cluster_28372_CDS_0022	18119:19318:1	TemPhD_cluster_52091_CDS_0023	variable	tail protein	
0-1	TemPhD_cluster_52091	1	TemPhD_cluster_28372_CDS_0024	19339:19782:1	TemPhD_cluster_52091_CDS_0024	variable	tail fiber assembly protein	
0-1	TemPhD_cluster_52091	2	TemPhD_cluster_15215_CDS_0021	19754:20356:-1	TemPhD_cluster_52091_CDS_0025	variable	hypothetical protein	
0-1	TemPhD_cluster_52091	3	TemPhD_cluster_52262_CDS_0026	20356:20886:-1	TemPhD_cluster_52091_CDS_0026	variable	tail collar fiber protein	
0-1	TemPhD_cluster_52091	4	TemPhD_cluster_52091_CDS_0027	20917:21510:1	TemPhD_cluster_52091_CDS_0027	variable	DNA invertase	
0-1	TemPhD_cluster_52379	0	TemPhD_cluster_52379_CDS_0025	17146:18483:1	TemPhD_cluster_52379_CDS_0025	variable	tail protein	
0-1	TemPhD_cluster_52379	1	TemPhD_cluster_15215_CDS_0021	18483:19088:1	TemPhD_cluster_52379_CDS_0026	variable	tail fiber assembly	
0-1	TemPhD_cluster_52379	2	TemPhD_cluster_52379_CDS_0027	19057:19254:-1	TemPhD_cluster_52379_CDS_0027	variable	hypothetical protein	
0-1	TemPhD_cluster_52379	3	TemPhD_cluster_52091_CDS_0027	19652:20245:1	TemPhD_cluster_52379_CDS_0028	variable	DNA invertase	
0-1	TemPhD_cluster_28392	0	TemPhD_cluster_52379_CDS_0025	17130:18629:1	TemPhD_cluster_28392_CDS_0026	variable	tail protein	
0-1	TemPhD_cluster_28392	1	TemPhD_cluster_15215_CDS_0021	18629:19231:1	TemPhD_cluster_28392_CDS_0027	variable	tail fiber assembly	
0-1	TemPhD_cluster_28392	2	TemPhD_cluster_28372_CDS_0024	19203:19646:-1	TemPhD_cluster_28392_CDS_0028	variable	tail fiber assembly protein	
0-1	TemPhD_cluster_28392	3	TemPhD_cluster_38190_CDS_0026	19667:19903:-1	TemPhD_cluster_28392_CDS_0029	variable	hypothetical protein	
0-1	TemPhD_cluster_28392	4	TemPhD_cluster_52091_CDS_0027	20108:20701:1	TemPhD_cluster_28392_CDS_0030	variable	DNA invertase	
